doc_id	title	author_id	first_name	surname_prefix	surname	full_name	birth_year	death_year	year_of_publication
snie002wond01	Het wonder van Saint-Hubert. Uit het dagboek van den gerechts-dokter	snie002	Jan Renier		Snieders	Snieders, Jan Renier	1812.0	1888.0	1867
snie001koni01	De koningin van het voetlicht	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1867
cour006nico01	Nicolette. Lotgevallen eener vondeling	cour006	Johanna Desideria		Courtmans-Berchmans	Courtmans-Berchmans, Johanna Desideria	1811.0	1890.0	1868
slee003plan01	De plannen van Peerjan	slee003	Domien		Sleeckx	Sleeckx, Domien	1818.0	1901.0	1868
busk001lide01	Lidewyde	busk001	Cd.		Busken Huet	Busken Huet, Cd.	1826.0	1886.0	1868
gram004madj01	Madjapahit: historisch-romantisch tafereel uit de geschiedenis van Java	gram004	J.S.G.		Gramberg	Gramberg, J.S.G.	1823.0	1888.0	1868
kepp002onge01	Een ongeluksvogel	kepp002	George Lodewijk		Kepper	Kepper, George Lodewijk	1842.0	1919.0	1866
brin017vuur02	Het vuur, dat niet wordt uitgebluscht	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1868
meer010zoow01	Zóó wordt men lid van de Tweede Kamer	meer010	Henry	van	Meerbeeke	Meerbeeke, Henry van	1831.0	1905.0	1869
cost020lege01	La légende d'Ulenspiegel	cost020	Charles	de	Coster	Coster, Charles de	1827.0	1879.0	1867
snie001opde01	Op den toren	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1869
kerc007voll04	Volledige werken. Deel 3	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1848
kerc007voll05	Volledige werken. Deel 4	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1848
gram001fami01	De familie Schaffels	gram001	Johan		Gram	Gram, Johan	1833.0	1914.0	1870
kerc007voll07	Volledige werken. Deel 6	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1890
kerc007voll08	Volledige werken. Deel 7	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1870
kerc007voll09	Volledige werken. Deel 8	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1870
kerc007voll12	Volledige werken. Deel 11	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1870
boek014veld01	De veldwachter van Laterveer	boek014	Rinse Koopmans	van	Boekeren	Boekeren, Rinse Koopmans van	1832.0	1896.0	1870
goej001line01	Line's verjaardag	goej001	Reinoudina	de	Goeje	Goeje, Reinoudina de	1833.0	1893.0	1870
snie001drie01	De drie zusters	snie001	August		Snieders	Snieders, August	1825.0	1904.0	1870
schi018gezi01	Het gezin van baas Van Ommeren. Deel 1	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1870
schi018gezi02	Het gezin van baas Van Ommeren. Deel 2	schi018	H.J.		Schimmel	Schimmel, H.J.	1823.0	1906.0	1870
beet005came07	Camera Obscura	beet005	Nicolaas		Beets	Beets, Nicolaas	1814.0	1903.0	1839
veer004fran01	Frans Holster	veer004	Hendrik	de	Veer	Veer, Hendrik de	1829.0	1890.0	1871
kerc007voll10	Volledige werken. Deel 9	kerc007	Pieter Frans	van	Kerckhoven	Kerckhoven, Pieter Frans van	1818.0	1857.0	1871
cour006chri01	Christine van Oosterwey	cour006	Johanna Desideria		Courtmans-Berchmans	Courtmans-Berchmans, Johanna Desideria	1811.0	1890.0	1871
mela002voor01	Voor God en koning (onder pseudoniem Mathilde)	mela002			Melati van Java	Melati van Java	1853.0	1927.0	1872
limb005akba01	Akbar, een oostersche roman	limb005	P.A.S.	van	Limburg Brouwer	Limburg Brouwer, P.A.S. van	1829.0	1873.0	1872
calc002kind01	Kinderen der eeuw	calc002	Elise	van	Calcar	Calcar, Elise van	1822.0	1904.0	1872
krus003huwe01	Een huwelijk in Indië	krus003	Mina		Kruseman	Kruseman, Mina	1839.0	1922.0	1873
