ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose	reprint_id	orig_jaar	best_jaar	Naam	Volledige voornaam	Personalia	active_start	active_end	dob_string	dob_location	dob_day	dob_month	dob_year	dob_century	dod_string	dod_location	dod_day	dod_month	dod_year	dod_century
mast002wilh01	Wilhelmina Noordkerk. Eene geschiedenis ter aanprijzing van oud vaderlandsche zeden, voor Nederlandsche vrouwen en meisjes	1818	1ste druk	werk	Fenna		Mastenbroek	F. Bohn	Haarlem	nl	proza	mast002wilh01_01	https://www.dbnl.org/tekst/mast002wilh01_01	mast002	1818	1818	exact	1810	1810	False	False	False	True			1818	Mastenbroek, Fenna	[Fenna]	(Sneek 16 maart 1788 - Sneek 3 oktober 1826)	1818	1818	Sneek 16 maart 1788	Sneek	16.0	3.0	1788.0	18.0	Sneek 3 oktober 1826	Sneek	3.0	10.0	1826.0	19.0
moen006mevr01	Mevrouw Veltman en hare voedsterlingen	1824	1ste druk	werk	Petronella		Moens	C. Schaares	Amsterdam	nl	proza	moen006mevr01_01	https://www.dbnl.org/tekst/moen006mevr01_01	moen006	1824	1824	exact	1820	1820	False	False	False	True			1824	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
neuf002klei01	De kleine pligten (4 delen)	1824-1827	1ste druk	werk	Margaretha Jacoba	de	Neufville	P. den Hengst en zoon	Amsterdam	nl	proza	neuf002klei01_01	https://www.dbnl.org/tekst/neuf002klei01_01	neuf002	1824	1827	exact	1820	1820	False	False	False	True			1824-1827	Neufville, Margaretha Jacoba de	[Margaretha Jacoba]	(Amsterdam 6 februari 1775 - Haarlem 15 juli 1856)	1824	1840	Amsterdam 6 februari 1775	Amsterdam	6.0	2.0	1775.0	18.0	Haarlem 15 juli 1856	Haarlem	15.0	7.0	1856.0	19.0
meer031kerm01	De kermiswandeling	1825	1ste druk	werk	Anna Barbara	van	Meerten-Schilperoort	G.J.A. Beijerinck	Amsterdam	nl	proza	meer031kerm01_01	https://www.dbnl.org/tekst/meer031kerm01_01	meer031	1825	1825	exact	1820	1820	False	False	False	True			1825	Meerten-Schilperoort, Anna Barbara van		(Voorburg 3 januari 1778 - Gouda 14 februari 1853)	1825	1825	Voorburg 3 januari 1778	Voorburg	3.0	1.0	1778.0	18.0	Gouda 14 februari 1853	Gouda	14.0	2.0	1853.0	19.0
moen006lett04	Letter-looveren, gestrooid voor mijne jonge landgenooten	1826	1ste druk	werk	Petronella		Moens	C. Schaares	Amsterdam	nl	proza	moen006lett04_01	https://www.dbnl.org/tekst/moen006lett04_01	moen006	1826	1826	exact	1820	1820	False	False	False	True			1826	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
lefr001outa01	Outalissi; a Tale of Dutch Guiana	1826	1ste druk	werk	Christopher Edward		Lefroy	Hatchard	London	ov	proza	lefr001outa01_01	https://www.dbnl.org/tekst/lefr001outa01_01	lefr001	1826	1826	exact	1820	1820	False	False	False	True			1826	Lefroy, Christopher Edward		(? -   ?(19de eeuw))	1826	1826	?						?(19de eeuw)					19.0
neuf002schi01	De schildknaap	1829	1ste druk	werk	Margaretha Jacoba	de	Neufville	P. den Hengst en zoon	Amsterdam	nl	proza	neuf002schi01_01	https://www.dbnl.org/tekst/neuf002schi01_01	neuf002	1829	1829	exact	1820	1820	False	False	False	True			1829	Neufville, Margaretha Jacoba de	[Margaretha Jacoba]	(Amsterdam 6 februari 1775 - Haarlem 15 juli 1856)	1824	1840	Amsterdam 6 februari 1775	Amsterdam	6.0	2.0	1775.0	18.0	Haarlem 15 juli 1856	Haarlem	15.0	7.0	1856.0	19.0
schu025gala01	Galama of de bevrijding van Vriesland	1833	1ste druk	werk	Jan Ernst		Schut	J.C. Van Kesteren	Amsterdam	nl	proza	schu025gala01_01	https://www.dbnl.org/tekst/schu025gala01_01	schu025	1833	1833	exact	1830	1830	False	False	False	True			1833	Schut, Jan Ernst		(Amsterdam 4 mei 1783 - Amsterdam 28 oktober 1836)	1833	1833	Amsterdam 4 mei 1783	Amsterdam	4.0	5.0	1783.0	18.0	Amsterdam 28 oktober 1836	Amsterdam	28.0	10.0	1836.0	19.0
lenn006plee01	De pleegzoon (2 delen)	1833	1ste druk	werk	Jacob	van	Lennep	Meijer Warnars	Amsterdam	nl	proza	lenn006plee01_01	https://www.dbnl.org/tekst/lenn006plee01_01	lenn006	1833	1833	exact	1830	1830	False	False	False	True			1833	Lennep, Jacob van		(Amsterdam 24 maart 1802 - Oosterbeek 25 augustus 1868)	1833	1886	Amsterdam 24 maart 1802	Amsterdam	24.0	3.0	1802.0	19.0	Oosterbeek 25 augustus 1868	Oosterbeek	25.0	8.0	1868.0	19.0
bure003magd01	Magdalena Moons, of het Beleg van Leyden	1835	1ste druk	werk	Anne Diederik	van	Buren Schele	G. Portielje	Amsterdam	nl	proza	bure003magd01_01	https://www.dbnl.org/tekst/bure003magd01_01	bure003	1835	1835	exact	1830	1830	False	False	False	True			1835	Buren Schele, Anne Diederik van		(Amsterdam 19 juli 1801 - Amerongen 16 oktober 1874)	1835	1835	Amsterdam 19 juli 1801	Amsterdam	19.0	7.0	1801.0	19.0	Amerongen 16 oktober 1874	Amerongen	16.0	10.0	1874.0	19.0
