ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose
meer031kerm01	De kermiswandeling	1825	1ste druk	werk	Anna Barbara	van	Meerten-Schilperoort	G.J.A. Beijerinck	Amsterdam	nl	proza	meer031kerm01_01	https://www.dbnl.org/tekst/meer031kerm01_01	meer031	1825	1825	exact	1820	1820	False	False	False	True
moen006lett04	Letter-looveren, gestrooid voor mijne jonge landgenooten	1826	1ste druk	werk	Petronella		Moens	C. Schaares	Amsterdam	nl	proza	moen006lett04_01	https://www.dbnl.org/tekst/moen006lett04_01	moen006	1826	1826	exact	1820	1820	False	False	False	True
vosm002nage01	Nagelaten en verspreide letter-arbeid	1826	1ste druk	werk	Jacob		Vosmaer	Vincent Loosjes	Haarlem	nl	proza	vosm002nage01_01	https://www.dbnl.org/tekst/vosm002nage01_01	vosm002	1826	1826	exact	1820	1820	False	False	False	False
lefr001outa01	Outalissi; a Tale of Dutch Guiana	1826	1ste druk	werk	Christopher Edward		Lefroy	Hatchard	London	ov	proza	lefr001outa01_01	https://www.dbnl.org/tekst/lefr001outa01_01	lefr001	1826	1826	exact	1820	1820	False	False	False	True
moen006dagb01	Dagboek voor mijne vrouwelijke landgenooten	1826	1ste druk	werk	Petronella		Moens	Ten Brink & De Vries	Amsterdam	nl	proza	moen006dagb01_01	https://www.dbnl.org/tekst/moen006dagb01_01	moen006	1826	1826	exact	1820	1820	False	False	False	False
napj001gesc01	Geschiedkundige kronijk en beschrijving van de stad Sneek	1826	2de, vermeerderde en verbeterde druk	herdruk	Eelco		Napjus	F.W.v.B. Smallenburg	Sneek	nl	proza	napj001gesc01_01	https://www.dbnl.org/tekst/napj001gesc01_01	napj001	1826	1826	exact	1820	1820	False	False	False	False
neuf002schi01	De schildknaap	1829	1ste druk	werk	Margaretha Jacoba	de	Neufville	P. den Hengst en zoon	Amsterdam	nl	proza	neuf002schi01_01	https://www.dbnl.org/tekst/neuf002schi01_01	neuf002	1829	1829	exact	1820	1820	False	False	False	True
moen006dagb02	Dagboek voor mijne vrouwelijke landgenooten	1831	1ste druk	werk	Petronella		Moens	Ten Brink & De Vries	Amsterdam	nl	proza	moen006dagb02_01	https://www.dbnl.org/tekst/moen006dagb02_01	moen006	1831	1831	exact	1830	1830	False	False	False	False
will028voor02	Voorzeggingen van de Heylige Hildegarde, omtrent de Belgische omwenteling. Prédictions de Sainte Hildegarde, sur la révolution de la Belgique	1832	1ste druk	werk	J.F.		Willems	Brest van Kempen	Amsterdam	nl	proza	will028voor02_01	https://www.dbnl.org/tekst/will028voor02_01	will028	1832	1832	exact	1830	1830	False	False	False	False
hall003gede01	Gedenkschriften van en door Frank Floriszoon van Arkel	1832	1ste druk	werk	M.C.	van	Hall	Johannes van der Hey en zoon	Amsterdam	nl	proza	hall003gede01_01	https://www.dbnl.org/tekst/hall003gede01_01	hall003	1832	1832	exact	1830	1830	False	False	False	False
bild002gesc01	Geschiedenis des vaderlands. Deel 1	1832	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc01_01	https://www.dbnl.org/tekst/bild002gesc01_01	bild002	1832	1832	exact	1830	1830	False	False	False	False
knep001mesl01	Mes loisirs	1832	1ste druk	werk	Johannes		Kneppelhout	P. Beekman	Den Haag	nl	proza	knep001mesl01_01	https://www.dbnl.org/tekst/knep001mesl01_01	knep001	1832	1832	exact	1830	1830	False	False	False	False
bild002gesc04	Geschiedenis des vaderlands. Deel 4	1833	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc04_01	https://www.dbnl.org/tekst/bild002gesc04_01	bild002	1833	1833	exact	1830	1830	False	False	False	False
bild002gesc02	Geschiedenis des vaderlands. Deel 2	1833	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc02_01	https://www.dbnl.org/tekst/bild002gesc02_01	bild002	1833	1833	exact	1830	1830	False	False	False	False
bild002gesc03	Geschiedenis des vaderlands. Deel 3	1833	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc03_01	https://www.dbnl.org/tekst/bild002gesc03_01	bild002	1833	1833	exact	1830	1830	False	False	False	False
schu025gala01	Galama of de bevrijding van Vriesland	1833	1ste druk	werk	Jan Ernst		Schut	J.C. Van Kesteren	Amsterdam	nl	proza	schu025gala01_01	https://www.dbnl.org/tekst/schu025gala01_01	schu025	1833	1833	exact	1830	1830	False	False	False	True
lenn006plee01	De pleegzoon (2 delen)	1833	1ste druk	werk	Jacob	van	Lennep	Meijer Warnars	Amsterdam	nl	proza	lenn006plee01_01	https://www.dbnl.org/tekst/lenn006plee01_01	lenn006	1833	1833	exact	1830	1830	False	False	False	True
abbr001weem01	Weemoedstoonen uit de geschiedenis van mijn leven of mijne reis naar Curaçao en vlugtige beschouwingen van dat eiland gedurende mijn tienjarig verblijf op hetzelve	1834	1ste druk	werk	Hermanus Johannes		Abbring	W. van Boekeren	Groningen	nl	proza	abbr001weem01_01	https://www.dbnl.org/tekst/abbr001weem01_01	abbr001	1834	1834	exact	1830	1830	False	False	False	False
bild002gesc05	Geschiedenis des vaderlands. Deel 5	1834	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc05_01	https://www.dbnl.org/tekst/bild002gesc05_01	bild002	1834	1834	exact	1830	1830	False	False	False	False
bild002gesc06	Geschiedenis des vaderlands. Deel 6	1834	1ste druk	werk	Willem		Bilderdijk			nl	proza	bild002gesc06_01	https://www.dbnl.org/tekst/bild002gesc06_01	bild002	1834	1834	exact	1830	1830	False	False	False	False
